Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
18,Two,low,5.278796,0.8966797988773147534722222222,0.7017332834953703642361111111,1.4636967762268518788194444444,200,203,230
18,Two,medium,5.4135254,0.7183447238773148409722222222,0.9344438584259259777777777777,1.1873805262962963527777777778,194,214,221
19,Cone,high,3.4333618,-1.7613414702430555256944444445,-0.0352458898379630045138888889,-1.5093257271527777732638888889,65,164,64
19,Cone,low,4.1627692,-0.5901337864930554840277777778,-0.3883534056712962440972222222,0.7443968724305555079861111111,128,142,206
19,Cone,medium,5.035461333333333,0.2518877658680551993055555555,0.8647137966203699652777777777,1.2060433558333329819444444445,170,208,222
19,Gravity,high,8.172007400000002,1.4944154488773168631944444448,0.6596862976620390913194444448,0.6684951412268539336805555555,218,202,201
19,Gravity,low,5.563414799999999,1.6944831634606471923611111111,-0.6645611873379638607638888889,-0.4157822591898157850694444445,230,119,133
19,Gravity,medium,8.4729948,4.2883385634606481340277777778,2.3403398625925926069444444444,2.0827520908796296888888888889,279,253,247
19,Three,high,9.505706,3.8735314037384259381944444444,5.1695759559953703454861111111,4.1329674446990741128472222222,276,284,281
19,Three,low,6.143592,2.0864508579050925340277777778,1.8581802105787036600694444445,2.2951686442824073940972222222,245,240,254
19,Three,medium,5.4733612,0.4314971141550927173611111111,0.6142721167592593694444444444,1.2138921943518518680555555556,179,199,223
19,Two,high,5.7332824,0.0793994530439815951388888889,1.4087681372453704871527777778,0.3938679766435185975694444444,164,226,190
19,Two,low,4.2139892,-0.1681270011226852465277777778,-0.3630735165046296357638888889,0.3988899762268518788194444444,153,146,191
19,Two,medium,2.9336302,-1.7615504761226851590277777778,-1.5454513415740740222222222223,-1.2925146737037036472222222222,64,70,81
2,Cone,high,4.6448304,-0.5498728702430555256944444445,1.1762227101620369954861111111,-0.2978571271527777732638888889,134,223,141
2,Cone,low,3.4670196000000004,-1.2858833864930550840277777778,-1.0841030056712958440972222222,0.0486472724305559079861111111,92,95,163
2,Cone,medium,1.8131132,-2.9704603674652778006944444445,-2.3576343367129630347222222223,-2.0163047775000000180555555555,14,30,39
2,Gravity,high,7.3457178,0.6681258488773148631944444448,-0.1666033023379629086805555552,-0.1577944587731480663194444445,189,158,147
2,Gravity,low,5.499777,1.6308453634606481923611111111,-0.7281989873379628607638888889,-0.4794200591898147850694444445,226,113,122
2,Gravity,medium,3.4169069999999997,-0.7677492365393521659722222222,-2.7157479374074076930555555556,-2.9733357091203706111111111111,122,11,10
2,Three,high,3.4714846,-2.1606899962615740618055555556,-0.8646454440046296545138888889,-1.9012539553009258871527777778,46,105,44
2,Three,low,4.2104248,0.1532836579050925340277777778,-0.0749869894212963399305555555,0.3620014442824073940972222222,167,162,183
2,Three,medium,3.4985962,-1.5432678858449072826388888889,-1.3604928832407406305555555556,-0.7608728056481481319444444444,76,76,109
2,Two,high,4.8656416,-0.7882413469560184048611111111,0.5411273372453704871527777778,-0.4737728233564814024305555556,121,197,125
2,Two,low,4.2774018,-0.1047144011226852465277777778,-0.2996609165046296357638888889,0.4623025762268518788194444444,158,150,196
2,Two,medium,7.088582,2.3934013238773148409722222222,2.6095004584259259777777777777,2.8624371262962963527777777778,251,258,266
20,Cone,high,6.1208866,0.9261833297569444743055555555,2.6522789101620369954861111111,1.1781990728472222267361111111,201,259,220
20,Cone,low,3.0462678,-1.7066351864930554840277777778,-1.5048548056712962440972222222,-0.3721045275694444920138888889,70,71,137
20,Cone,medium,4.1934874,-0.5900861674652778006944444445,0.0227398632870369652777777777,0.3640694224999999819444444445,129,167,184
20,Gravity,high,17.9876298,11.310037848877314863194444445,10.475308697662037091319444445,10.484117541226851933680555556,288,288,288
20,Gravity,low,6.432354800000001,2.5634231634606491923611111111,0.2043788126620381392361111111,0.4531577408101862149305555555,257,183,195
20,Gravity,medium,8.7015805,4.5169242634606481340277777778,2.5689255625925926069444444444,2.3113377908796296888888888889,281,257,255
20,Three,high,6.3633364,0.7311618037384259381944444444,2.0272063559953703454861111111,0.9905978446990741128472222222,195,245,215
20,Three,low,4.229184200000001,0.1720430579050935340277777778,-0.0562275894212953399305555555,0.3807608442824083940972222222,168,163,187
20,Three,medium,4.0158448,-1.0260192858449072826388888889,-0.8432442832407406305555555556,-0.2436242056481481319444444444,105,107,144
